parameter,coef,
(Intercept),4.858551626,
h(oxygen.stn2-2.6),-3.830009904,
h(2.6-oxygen.stn2),0.379119101,
h(K.ppm-42.0204),-0.068866197,
h(42.0204-K.ppm),-0.160090668,
h(42.0204-K.ppm)*h(ammonia.p1-0.8),-0.082283311,
h(42.0204-K.ppm)*h(0.8-ammonia.p1),0.615774706,
h(3.1-oxygen.stn4)*h(2.6-oxygen.stn2),-0.058383511,
h(2.6-oxygen.stn2)*h(oxygen.stn3-3.6),-0.564802042,
h(2.6-oxygen.stn2)*h(3.6-oxygen.stn3),-0.512535224,
h(2.1-magnesium_potassium_flow),0.722586691,
h(oxygen.stn2-2.9),6.221642772,1
h(oxygen.stn2-2.6)*h(phosphoric-0.6),-62.49533515,1
h(oxygen.stn2-2.6)*h(0.6-phosphoric),-61.12008054,1
h(2.6-oxygen.stn2)*h(phosphoric-0.2),-1.00784156,
h(phosphoric-0.1)*h(42.0204-K.ppm),0.317185,
h(0.1-phosphoric)*h(42.0204-K.ppm),-3.089888508,
h(oxygen.stn4-3.1)*h(magnesium_potassium_flow-2.1),19.71149096,1
h(3.1-oxygen.stn4)*h(magnesium_potassium_flow-2.1),-11.47491323,1
h(oxygen.stn2-2.3),14.66579053,
h(phosphoric-0.9)*h(magnesium_potassium_flow-2.1),2.57154927,
h(0.9-phosphoric)*h(magnesium_potassium_flow-2.1),29.79554364,1
h(oxygen.stn2-2.3)*h(oxygen.stn3-1.8),1.218830708,
h(oxygen.stn2-2.3)*h(1.8-oxygen.stn3),32.56043649,1
h(42.0204-K.ppm)*h(7.2-oxygen_pressure_to_fermentor_loop_mixture),-0.726769731,
h(NH4.Productivity-0.793457),-0.580114124,1
h(0.793457-NH4.Productivity),-2.063030333,1
h(oxygen.stn2-2.3)*h(dissolved.stn1-0.1),10.54835789,
h(oxygen.stn2-2.3)*h(0.1-dissolved.stn1),18.26412493,
h(oxygen.stn2-2.3)*h(phosphoric-0.2),-20.75890815,
h(oxygen.stn2-2.3)*h(0.2-phosphoric),63.66962898,1
h(oxygen.stn2-2.3)*h(1.7-spare_dosing_pump_flow),-3.002774739,
